path,description
/ME/ME0110/ME0110T06,"""Democracy"", ""European Parliament election, participation survey"", ""European Parliament election. Voting rates among Swedish citizens registered in Sweden by civil status, sex and age (survey). Election year 2004 - 2014"""
/ME/ME0110/ME0110T07,"""Democracy"", ""European Parliament election, participation survey"", ""European Parliament election. Voting rates among Swedish citizens registered in Sweden by income, sex and age (survey). Election year 2004 - 2014"""
/ME/ME0110/ME0110T08,"""Democracy"", ""European Parliament election, participation survey"", ""European Parliament election. Voting rates among Swedish citizens registered in Sweden, 18-74 years by level of educational attainment, sex and age (survey). Election year 2004 - 2014"""
/ME/ME0110/ME0110T09,"""Democracy"", ""European Parliament election, participation survey"", ""European Parliament election. Voting rates among Swedish citizens registered in Sweden, 18-64 years by civil status, labour force status and sex(survey). Election year 2004 - 2014"""
/ME/ME0110/ME0110T10,"""Democracy"", ""European Parliament election, participation survey"", ""European Parliament election. Voting rates among employed Swedish citizens registered in Sweden, 18-64 years by occupation and sex (survey). Election year 2004 - 2014"""
/ME/ME0110/ME0110T12,"""Democracy"", ""European Parliament election, participation survey"", ""European Parliament election. Voting rates among employed Swedish citizens registered in Sweden, 18-64 years by socio economic group, sex and age (survey). Election year 2004 - 2014"""
/ME/ME0110/ME0110T11,"""Democracy"", ""European Parliament election, participation survey"", ""European Parliament election. Voting rates among Swedish citizens registered in Sweden, 18-64 years, employees by sector of employment, sex and age (survey). Election year 2004 - 2014"""
/ME/ME0110/ME0110T13,"""Democracy"", ""European Parliament election, participation survey"", ""European Parliament election. Voting rates among Swedish citizens registered in Sweden, 18-64 years, employees and unemployed by trade union, sex and age (survey). Election year 2004 - 2014"""
/ME/ME0116/C1EUvalNom,"""Democracy"", ""European Parliament elections, nominated and elected candidates"", ""Nominated, elected and not elected candidates in the elections to the European Parliament by sex. In numbers and percent. Election year 1995 - 2019"""
/ME/ME0116/C2EUvalNomAlder,"""Democracy"", ""European Parliament elections, nominated and elected candidates"", ""Nominated, elected and not elected candidates in elections to the European Parliament by sex and age. In numbers and percentage. Election year 1995 - 2019"""
/ME/ME0116/C3EUvalNomLand,"""Democracy"", ""European Parliament elections, nominated and elected candidates"", ""Nominated, elected and not elected candidates in the elections to the European Parliament by sex and born in Sweden/born abroad. In numbers and percent. Election year 1995 - 2019"""
/ME/ME0116/C4EUvalNomUtb,"""Democracy"", ""European Parliament elections, nominated and elected candidates"", ""Nominated, elected and not elected candidates in the elections to the European Parliament by sex and level of educational attainment. In numbers and percentage. Election year 1995 - 2019"""
/ME/ME0116/C5EUvalNomInk,"""Democracy"", ""European Parliament elections, nominated and elected candidates"", ""Nominated, elected and not elected candidates in the elections to the European Parliament by sex and income by percentile. In numbers and percent. Election year 1995 - 2019"""
